BuyerAgentAOR,ListAgentAOR,Flooring,ViewYN,PoolPrivateYN,OriginalListPrice,ListingKey,CloseDate,ClosePrice,ListAgentFirstName,ListAgentLastName,Latitude,Longitude,UnparsedAddress,PropertyType,LivingArea,ListPrice,DaysOnMarket,ListOfficeName,BuyerOfficeName,CoListOfficeName,ListAgentFullName,CoListAgentFirstName,CoListAgentLastName,BuyerAgentMlsId,BuyerAgentFirstName,BuyerAgentLastName,AssociationFeeFrequency,ListingKeyNumeric,MLSAreaMajor,CountyOrParish,MlsStatus,AttachedGarageYN,ParkingTotal,PropertySubType,LotSizeAcres,SubdivisionName,BuyerOfficeAOR,YearBuilt,StreetNumberNumeric,ListingId,BathroomsTotalInteger,City,BedroomsTotal,ContractStatusChangeDate,CoBuyerAgentFirstName,PurchaseContractDate,ListingContractDate,StateOrProvince,FireplaceYN,Stories,Levels,LotSizeArea,MainLevelBedrooms,NewConstructionYN,GarageSpaces,HighSchoolDistrict,PostalCode,AssociationFee,LotSizeSquareFeet,OriginatingSystemName,OriginatingSystemSubName,flag_missing_coords,flag_zero_coords,flag_bad_longitude
OrangeCounty,OrangeCounty,"Carpet,Tile",False,False,1100000.0,1155620121,2026-02-27,1100000.0,Senka,Plese,33.695943,-117.786376,14921 Groveview,Residential,1153.0,1100000.0,0,RE/MAX Connections,RE/MAX Connections,RE/MAX Connections,Senka Plese,Hannah,Song,ocplessen,Senka,Plese,,1155620121,EC - El Camino Real,Orange,Closed,True,4.0,SingleFamilyResidence,0.1148,Willows (WL),OrangeCounty,1971.0,14921.0,OC26061176,2.0,Irvine,3.0,2026-02-27,Hannah,2026-01-27,2026-01-25,CA,True,1.0,One,5000.0,3.0,False,2.0,Irvine Unified,92604,,5000.0,CRMLS,CRMLS_CRM,False,False,False
BeverlyHillsGreaterLa,BeverlyHillsGreaterLa,Wood,False,False,999000.0,1155350576,2026-02-27,938000.0,Hosh,Maha,34.187249,-118.464242,6419 Columbus Avenue,Residential,912.0,999000.0,8,EstateX inc.,EstateX inc.,EstateX inc.,Hosh Maha,Sarah,McDonald,CLW-C137047,Hosh,Maha,,1155350576,VN - Van Nuys,Los Angeles,Closed,,0.0,SingleFamilyResidence,0.2756,,BeverlyHillsGreaterLa,1933.0,6419.0,26665349,1.0,Van Nuys,3.0,2026-02-27,Claire,2025-11-26,2025-11-18,CA,True,1.0,One,12005.0,,False,,,91411,,12005.0,CRMLS,CRMLS_CL,False,False,False
Newport,Newport,,False,False,525000.0,1155192177,2026-02-24,525000.0,Dustin,Alamo,38.055464,-122.158783,255 Military W,Residential,2145.0,525000.0,0,"Alamo Pacific Realty, Inc","Alamo Pacific Realty, Inc",,Dustin Alamo,,,NP60281,Dustin,Alamo,,1155192177,,Solano,Closed,,0.0,SingleFamilyResidence,0.43,,Newport,1900.0,255.0,NP26055593,1.0,Benicia,4.0,2026-02-24,,2026-02-08,2026-02-08,CA,False,2.0,"Two,ThreeOrMore",18730.0,4.0,False,0.0,ABC Unified,94510,0.0,18730.0,CRMLS,CRMLS_CRM,False,False,False
Mrmls,SierraNorthValley,,True,False,299000.0,1155179209,2026-02-27,240000.0,Marty,Leatherman,39.734906,-121.832084,555 Vallombrosa,Residential,902.0,299000.0,0,Re/Max of Chico,NONMEMBER MRML,,Marty Leatherman,,,nonmember,General,NONMEMBER,Monthly,1155179209,,Butte,Closed,False,1.0,Condominium,0.02,,Mrmls,1973.0,555.0,SN26054377,1.0,Chico,2.0,2026-02-27,,2026-01-29,2026-01-29,CA,True,1.0,One,871.0,2.0,False,1.0,Chico Unified,95926,468.0,871.0,CRMLS,CRMLS_CRM,False,False,False
CitrusValley,WestSanGabrielValley,,False,False,905000.0,1155113968,2026-02-17,905000.0,Sarah,Johnson,34.179042,-118.1459,1930 N Marengo,Residential,1214.0,905000.0,0,Real Brokerage Technologies,eXp Realty of Greater Los Angeles,Real Brokerage Technologies,Sarah Johnson,PEGGY,LIM,CV49342,Vivian,Tang,,1155113968,645 - Pasadena (NW),Los Angeles,Closed,True,2.0,SingleFamilyResidence,0.1894,,CitrusValley,1976.0,1930.0,WS26031120,2.0,Pasadena,4.0,2026-02-17,Denny,2026-02-17,2026-02-17,CA,False,1.0,One,8251.0,4.0,False,2.0,Pasadena Unified,91103,0.0,8251.0,CRMLS,CRMLS_CRM,False,False,False
BayEast,Oakland,Carpet,,False,1210000.0,1155025463,2026-02-27,1210000.0,Michael,Swiderski,37.90477824,-122.04718318,1066 Hacienda Dr,Residential,1400.0,1210000.0,0,Coldwell Banker Realty,Open Access,,Michael Swiderski,,,BMLS-174568559,Anastasie,Martin,,1155025463,,Contra Costa,Closed,True,2.0,SingleFamilyResidence,0.6336,LAKEWOOD,BayEast,1954.0,1066.0,41126804,2.0,Walnut Creek,4.0,2026-02-27,,2026-02-27,2026-02-27,CA,True,1.0,One,27600.0,,False,2.0,,94598,,27600.0,CRMLS,CRMLS_BMLS,False,False,False
Newport,Newport,"Tile,Wood",True,False,3150000.0,1154998305,2026-02-24,3150000.0,Casey,O'Connor,33.596168,-117.864925,615 .5 Poppy Avenue,Residential,1400.0,3150000.0,0,Berkshire Hathaway HomeService,Christie's International R.E. Southern California,"Sailhouse Real Estate, Inc.",Casey O'Connor,Pat,Patterson,U40320,Casey,Lesher,,1154998305,CS - Corona Del Mar - Spyglass,Orange,Closed,True,2.0,Condominium,0.0813,Corona del Mar North of PCH (CNHW),Newport,2025.0,615.0,NP26053262,4.0,Corona Del Mar,3.0,2026-02-24,,2026-01-30,2025-12-16,CA,True,,ThreeOrMore,3540.0,1.0,True,1.0,Newport Mesa Unified,92625,0.0,3540.0,CRMLS,CRMLS_CRM,False,False,False
Mlslistings,Mlslistings,,False,,,1154943263,2026-02-24,2100000.0,,Strock Team,37.23089487,-121.95761875,16369 Hilow Road,Residential,1056.0,2100000.0,0,eXp Realty of California Inc,eXp Realty of California Inc,Strock Real Estate, Strock Team,Natalia,Fulga,ML5084906,Bjorn,Berg,,1154943263,699 - Not Defined,Santa Clara,Closed,False,6.0,SingleFamilyResidence,0.24,,Mlslistings,1951.0,16369.0,ML82037960,1.0,Los Gatos,3.0,2026-02-24,,2026-02-24,2026-02-24,CA,False,,,10454.0,,False,2.0,Other,95032,,10454.0,CRMLS,CRMLS_MLSL,False,False,False
NorthSanDiegoCounty,NorthSanDiegoCounty,Laminate,False,False,649999.0,1154868125,2026-02-27,700000.0,Jim,Bottrell,32.734123,-117.081553,5304 Nutmeg Street,Residential,1346.0,649999.0,0,eXp Realty Greater Los Angeles,"eXp Realty of Greater Los Angeles, Inc","eXp Realty of Greater Los Angeles, Inc",Jim Bottrell,Brian,Thompson,ND126155,Brian,Thompson,,1154868125,92105 - East San Diego,San Diego,Closed,True,1.0,SingleFamilyResidence,0.1263,,NorthSanDiegoCounty,1970.0,5304.0,NDP2602236,2.0,San Diego,3.0,2026-02-27,,2026-02-06,2026-01-26,CA,False,1.0,One,5500.0,,,1.0,San Diego Unified,92105,0.0,5500.0,CRMLS,CRMLS_CRP,False,False,False
SanDiego,PacificSouthwest,,True,False,1191000.0,1154717602,2026-02-27,1191000.0,Esmeralda,Caballero,32.622937,-116.974208,1864 Cobblecreek Street,Residential,2655.0,1191000.0,0,ShoppingSDHouses,Military Mutual,,Esmeralda Caballero,,,SAND-655369,Derek,Barksdale,Monthly,1154717602,91913 - Chula Vista,San Diego,Closed,True,2.0,SingleFamilyResidence,0.1,,SanDiego,2005.0,1864.0,PTP2601759,4.0,Chula Vista,6.0,2026-02-27,,2026-01-30,2026-01-06,CA,True,1.0,One,0.1,,,2.0,Other,91913,135.0,4356.0,CRMLS,CRMLS_CRP,False,False,False
Mrmls,PacificWest,,True,True,510000.0,1154531404,2026-02-24,510000.0,Dema,Wasel,37.95751,-121.292474,6395 Embarcadero Drive,Residential,1902.0,510000.0,0,Lifetime Realty Inc,NONMEMBER MRML,,Dema Wasel,,,NONMEMBER,Andrea,Johnson,Quarterly,1154531404,,San Joaquin,Closed,True,2.0,SingleFamilyResidence,0.1441,,Mrmls,1980.0,6395.0,PW26049580,2.0,Stockton,3.0,2026-02-24,,2026-01-20,2026-01-15,CA,True,2.0,Two,6277.0,1.0,False,2.0,Lodi Unified,95219,479.0,6277.0,CRMLS,CRMLS_CRM,False,False,False
BeverlyHillsGreaterLa,BeverlyHillsGreaterLa,,True,False,1500000.0,1154516228,2026-02-20,1500000.0,Bryce,Pennel,34.089607,-118.390129,999 N Doheny Drive 1201,Residential,842.0,1500000.0,0,Douglas Elliman,Douglas Elliman,,Bryce Pennel,,,CLW-C124648,Bryce,Pennel,Monthly,1154516228,C10 - West Hollywood Vicinity,Los Angeles,Closed,,0.0,Condominium,0.6809,,BeverlyHillsGreaterLa,1963.0,999.0,26660867,1.0,West Hollywood,1.0,2026-02-20,,2026-02-20,2026-02-20,CA,False,1.0,One,29660.0,,False,,,90069,2000.0,29660.0,CRMLS,CRMLS_CL,False,False,False
,SanDiego,"Carpet,Tile",True,False,2425000.0,1154480605,2026-02-20,2330000.0,Tim,Van Damm,32.99580353,-117.10778194,15094 Verdot Ct,Residential,3030.0,2425000.0,0,Berkshire Hathaway HomeServices California Properties,Berkshire Hathaway HomeService,Berkshire Hathaway HomeServices California Properties,Tim Van Damm,Charlie,Cairncross,109783,Shelly,Wu,Monthly,1154480605,92127 - Rancho Bernardo,San Diego,Closed,True,4.0,SingleFamilyResidence,0.1671,San Diego,,2016.0,15094.0,260005234SD,3.0,San Diego,4.0,2026-02-20,,2026-02-05,2026-01-23,CA,False,2.0,Two,7281.0,,False,2.0,,92127,227.0,7281.0,CRMLS,CRMLS_SAND,False,False,False
NorthSanDiegoCounty,NorthSanDiegoCounty,,True,False,1600000.0,1154376266,2026-02-25,1600000.0,Thomas,Rico,33.13057,-117.178217,680 Westbrook Loop,Residential,3453.0,1600000.0,0,Berkshire Hathaway HomeService,First Team Real Estate,,Thomas Rico,,,100220,Annette,Waite,Monthly,1154376266,92078 - San Marcos,San Diego,Closed,True,2.0,Condominium,,,NorthSanDiegoCounty,2022.0,680.0,NDP2602084,5.0,San Marcos,5.0,2026-02-25,,2026-01-25,2026-01-24,CA,False,2.0,Two,,1.0,,2.0,San Marcos Unified,92078,242.0,,CRMLS,CRMLS_CRP,False,False,False
Mlslistings,Mlslistings,,False,,,1154334545,2026-02-27,537000.0,Susan,Gaetano,37.12682846,-121.63500891,16715 Audrey Drive,Residential,587.0,537000.0,0,Intero Real Estate Services,Intero Real Estate Services,,Susan Gaetano,,,ML493914,Susan,Gaetano,,1154334545,699 - Not Defined,Santa Clara,Closed,True,1.0,SingleFamilyResidence,0.0514,,Mlslistings,1990.0,16715.0,ML82037127,1.0,Morgan Hill,1.0,2026-02-27,,2026-02-27,2026-02-27,CA,False,,,2240.0,,False,1.0,Other,95037,276.0,2240.0,CRMLS,CRMLS_MLSL,False,False,False
,Mlslistings,,False,,,1154334544,2026-02-27,1244000.0,Ella,Barak,37.47487033,-122.15983731,1208 Henderson Avenue,Residential,1070.0,1244000.0,0,Keller Williams Palo Alto,,,Ella Barak,,,ML1599576,Brian Andrew,Merrion,,1154334544,699 - Not Defined,San Mateo,Closed,True,1.0,SingleFamilyResidence,0.1354,,,1948.0,1208.0,ML82037129,1.0,Menlo Park,3.0,2026-02-27,,2026-02-27,2026-02-27,CA,False,,,5900.0,,False,1.0,Other,94025,,5900.0,CRMLS,CRMLS_MLSL,False,False,False
SouthwestRiversideCounty,SouthwestRiversideCounty,"Carpet,Tile",True,False,1199999.0,1154329704,2026-02-27,1200000.0,Marissa,Tuer,33.656637,-117.577471,11 Sarracenia,Residential,1890.0,1199999.0,0,Real Brokerage Technologies,Real Brokerage Technologies,Real Brokerage Technologies,Marissa Tuer,Austin,Tuer,SWTUERMAR,Marissa,Tuer,Monthly,1154329704,R1 - Rancho Santa Margarita North,Orange,Closed,True,3.0,SingleFamilyResidence,0.1148,Cantobrio I (R1) (CB1),SouthwestRiversideCounty,1986.0,11.0,SW26047309,3.0,Rancho Santa Margarita,3.0,2026-02-27,Austin,2026-02-02,2025-12-22,CA,True,2.0,Two,5000.0,1.0,False,3.0,Saddleback Valley Unified,92688,87.0,5000.0,CRMLS,CRMLS_CRM,False,False,False
BeverlyHillsGreaterLa,BeverlyHillsGreaterLa,Wood,False,False,2350000.0,1154320290,2026-02-25,2166000.0,Shannon,Fopeano,34.060361,-118.431216,10544 Wellworth Avenue,Residential,1985.0,2350000.0,17,"Alta Realty Group CA, Inc.",Berkshire Hathaway HomeServices California Properties,,Shannon Fopeano,,,CLW-C110573,Dennis,Adelpour,,1154320290,C05 - Westwood - Century City,Los Angeles,Closed,False,0.0,SingleFamilyResidence,0.1494,,OutOfAreaBoard,1935.0,10544.0,26659641,3.0,Los Angeles,4.0,2026-02-25,,2026-01-28,2026-01-11,CA,True,2.0,Two,6507.0,,False,,,90024,,6507.0,CRMLS,CRMLS_CL,False,False,False
InlandValleys,InlandValleys,,True,False,165000.0,1154285778,2026-02-26,165000.0,RYAN,MCKEE,35.132668,-118.429704,49518 Michael,Residential,1148.0,165000.0,0,ELEVATE REAL ESTATE AGENCY,ELEVATE REAL ESTATE AGENCY,,RYAN MCKEE,,,IVMCKERYA,RYAN,MCKEE,,1154285778,THP - Tehachapi,Kern,Closed,True,2.0,SingleFamilyResidence,0.141,,InlandValleys,1976.0,49518.0,IV26046726,2.0,Tehachapi,3.0,2026-02-26,,2026-02-04,2026-02-04,CA,True,1.0,One,6144.0,3.0,False,2.0,See Remarks,93561,0.0,6144.0,CRMLS,CRMLS_CRM,False,False,False
InlandValleys,InlandValleys,,True,False,850000.0,1154283110,2026-02-20,850000.0,RYAN,MCKEE,34.028254,-118.447188,2481 S Westgate Avenue S,Residential,1169.0,850000.0,0,ELEVATE REAL ESTATE AGENCY,ELEVATE REAL ESTATE AGENCY,,RYAN MCKEE,,,IVMCKERYA,RYAN,MCKEE,,1154283110,WLA - West Los Angeles,Los Angeles,Closed,True,2.0,SingleFamilyResidence,0.1382,,InlandValleys,1946.0,2481.0,IV26003178,1.0,Los Angeles,3.0,2026-02-20,,2026-01-05,2026-01-02,CA,True,1.0,One,6020.0,3.0,False,2.0,Los Angeles Unified,90064,0.0,6020.0,CRMLS,CRMLS_CRM,False,False,False
SouthBay,SouthBay,,False,False,1129900.0,1154282697,2026-02-27,1129900.0,Scott,Anastasi,33.768339,-118.366593,927 Deep Valley Drive 214,Residential,1358.0,1129900.0,0,"Scott Anastasi Realty, Inc.",Compass,,Scott Anastasi,,,SPHILNIC,Nicholas,Phillips,Monthly,1154282697,175 - Peninsula Center,Los Angeles,Closed,False,2.0,Condominium,3.4204,,SouthBay,2025.0,927.0,SB26043827,3.0,Rolling Hills Estates,3.0,2026-02-27,,2026-01-05,2025-12-01,CA,False,1.0,One,148993.0,3.0,True,2.0,Palos Verdes Peninsula Unified,90274,728.71,148993.0,CRMLS,CRMLS_CRM,False,False,False
Mrmls,SouthBay,,False,False,989900.0,1154282696,2026-02-27,989900.0,Scott,Anastasi,33.768339,-118.366593,927 Deep Valley Drive 108,Residential,1251.0,989900.0,0,"Scott Anastasi Realty, Inc.",None MRML,,Scott Anastasi,,,none,NONE,NONE,Monthly,1154282696,175 - Peninsula Center,Los Angeles,Closed,False,2.0,Condominium,3.4204,,Mrmls,2025.0,927.0,SB26046247,2.0,Rolling Hills Estates,2.0,2026-02-27,,2026-02-18,2026-02-16,CA,False,1.0,One,148993.0,2.0,True,2.0,Palos Verdes Peninsula Unified,90274,715.7,148993.0,CRMLS,CRMLS_CRM,False,False,False
NorthSanDiegoCounty,PacificSouthwest,,True,False,2470000.0,1154271961,2026-02-18,2470000.0,Marlyn,Fuentes,33.077383,-117.259268,2219 Camino Robledo,Residential,3356.0,2470000.0,0,Compass,Compass,,Marlyn Fuentes,,,109984,Christian,Potter,Monthly,1154271961,92009 - Carlsbad,San Diego,Closed,True,3.0,SingleFamilyResidence,0.0,,NorthSanDiegoCounty,2000.0,2219.0,PTP2601617,3.0,Carlsbad,4.0,2026-02-18,,2026-01-26,2026-01-20,CA,True,1.0,One,0.27,,,3.0,San Dieguito Union,92009,175.0,0.27,CRMLS,CRMLS_CRP,False,False,False
PacificSouthwest,PacificSouthwest,,True,False,460000.0,1154271175,2026-02-18,460000.0,John,Elliott,32.6117,-116.466462,1124 Custer Drive,Residential,1844.0,460000.0,0,Descanso Real Estate,Descanso Real Estate,,John Elliott,,,233346,John,Elliott,,1154271175,91906 - Campo,San Diego,Closed,False,3.0,ManufacturedOnLand,6.46,,PacificSouthwest,1998.0,1124.0,PTP2601616,2.0,Campo,5.0,2026-02-18,,2026-02-18,2026-02-17,CA,False,1.0,One,6.46,,,3.0,Mountain Empire Unified,91906,0.0,281397.6,CRMLS,CRMLS_CRP,False,False,False
